"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch029", "industrie", "", "", "", "beurre"
"ch029", "industrie", "", "", "", "beurre"
"ch029", "industrie", "ingrédient", "laitier", "beurre", "beurre"
"ch029", "industrie", "produit", "laitier", "beurre", "beurre"
"ch029", "industrie", "produit", "laitier", "beurre", "beurre"
"ch029", "industrie", "produit", "laitier", "beurre", "beurre"
"ch029", "industrie", "produit", "laitier", "beurre", "beurre"
"ch029", "industrie", "produit", "laitier", "beurre", "beurre"
"ch029", "industrie", "", "", "", "bâton"
"ch029", "industrie", "", "", "", "caillé"
"ch029", "industrie", "ustensile", "", "couvercle", "couvercle"
"ch029", "industrie", "", "", "", "crème"
"ch029", "industrie", "", "", "", "crème"
"ch029", "industrie", "", "", "", "crème"
"ch029", "industrie", "ingrédient", "laitier", "crème", "crème"
"ch029", "industrie", "ingrédient", "laitier", "crème", "crème"
"ch029", "industrie", "ingrédient", "laitier", "crème", "crème"
"ch029", "industrie", "produit", "laitier", "crème", "crème"
"ch029", "industrie", "produit", "laitier", "crème", "crème"
"ch029", "industrie", "produit", "laitier", "crème", "crème"
"ch029", "industrie", "ustensile", "", "cuillères", "cuillères"
"ch029", "industrie", "", "", "", "cuisine"
"ch029", "industrie", "ustensile", "", "eau", "eau"
"ch029", "industrie", "", "", "", "fromage"
"ch029", "industrie", "", "", "", "fromage"
"ch029", "industrie", "", "", "", "fromage"
"ch029", "industrie", "", "", "", "fromage"
"ch029", "industrie", "ingrédient", "laitier", "fromage", "fromage"
"ch029", "industrie", "produit", "laitier", "fromage", "fromage"
"ch029", "industrie", "", "", "", "fromage frais"
"ch029", "industrie", "", "", "", "fromages"
"ch029", "industrie", "", "", "", "fromages"
"ch029", "industrie", "produit", "laitier", "fromages", "fromages"
"ch029", "industrie", "produit", "laitier", "fromages", "fromages"
"ch029", "industrie", "produit", "laitier", "beurre", "grumeaux"
"ch029", "industrie", "", "", "", "lait"
"ch029", "industrie", "", "", "", "lait"
"ch029", "industrie", "ingrédient", "laitier", "lait", "lait"
"ch029", "industrie", "produit", "laitier", "lait", "lait"
"ch029", "industrie", "produit", "laitier", "lait", "lait"
"ch029", "industrie", "produit", "laitier", "lait", "lait"
"ch029", "industrie", "ingrédient", "laitier", "liaisons", "liaisons"
"ch029", "industrie", "", "", "", "marbrures"
